Date,AAPL,MSFT,GOOGL,JPM,XOM
2022-03-28,153.54,369.28,145.25,152.02,57.13
2022-03-29,151.38,363.97,145.07,152.57,57.09
2022-03-30,151.75,369.34,144.72,154.25,57.07
2022-03-31,151.23,372.69,146.57,156.30,58.62
2022-04-01,151.35,375.53,146.34,157.28,58.59
2022-04-04,151.67,378.38,145.17,161.91,57.97
2022-04-05,148.51,377.75,145.19,163.00,58.66
2022-04-06,148.54,374.52,144.95,161.24,59.56
2022-04-07,148.21,371.02,143.70,161.68,58.98
2022-04-08,146.14,368.66,142.90,160.24,58.29
2022-04-11,146.80,364.51,139.90,158.26,57.93
2022-04-12,147.66,371.43,142.85,158.86,57.95
2022-04-13,145.13,367.35,140.57,158.88,57.04
2022-04-14,146.53,375.42,141.99,160.74,57.98
2022-04-15,145.55,374.75,141.46,160.82,57.14
2022-04-18,145.67,376.92,144.68,163.21,59.63
2022-04-19,143.77,377.13,144.14,167.81,59.12
2022-04-20,141.71,371.52,138.26,165.73,58.15
2022-04-21,142.15,373.62,142.40,168.23,57.69
2022-04-22,139.97,371.85,138.51,171.80,59.29
2022-04-25,138.87,363.78,139.62,170.59,60.47
2022-04-26,135.07,355.32,136.70,169.35,59.77
2022-04-27,136.62,354.22,137.05,169.62,60.40
2022-04-28,138.40,353.28,134.87,172.39,61.12
2022-04-29,136.64,355.95,134.56,175.27,61.42
2022-05-02,141.76,371.01,138.35,179.88,62.69
2022-05-03,145.28,373.39,141.65,183.05,60.99
2022-05-04,142.33,361.17,138.22,182.91,62.64
2022-05-05,142.58,367.60,136.45,179.68,62.35
2022-05-06,143.60,369.27,133.21,179.64,60.97
2022-05-09,145.37,373.65,132.75,179.10,59.81
2022-05-10,145.26,377.16,131.27,180.66,59.39
2022-05-11,143.30,373.58,128.12,178.70,57.93
2022-05-12,148.42,382.33,130.03,180.69,58.09
2022-05-13,147.90,383.93,131.35,179.68,57.36
2022-05-16,147.24,374.22,127.26,181.52,59.32
2022-05-17,146.66,375.51,127.70,189.08,61.17
2022-05-18,146.38,371.60,124.32,188.93,60.36
2022-05-19,142.81,363.48,120.11,191.61,61.55
2022-05-20,142.85,369.06,120.84,190.28,63.19
2022-05-23,144.27,367.68,120.95,188.08,61.44
2022-05-24,146.71,378.93,120.74,191.09,61.06
2022-05-25,145.51,374.81,118.38,190.51,60.09
2022-05-26,146.27,375.97,118.40,188.51,59.32
2022-05-27,148.29,381.30,118.10,189.57,60.31
2022-05-30,144.04,376.39,114.87,189.93,59.44
2022-05-31,139.58,363.00,111.88,188.40,58.24
2022-06-01,141.22,359.80,112.09,185.21,57.32
2022-06-02,141.40,357.09,111.27,187.28,56.88
2022-06-03,143.55,356.63,112.88,191.01,54.63
2022-06-06,141.61,355.65,111.71,191.62,54.04
2022-06-07,141.88,355.63,113.64,192.40,54.40
2022-06-08,140.91,352.44,112.25,192.83,54.00
2022-06-09,141.69,361.20,114.83,193.43,55.24
2022-06-10,140.73,352.46,111.95,187.45,54.46
2022-06-13,140.83,358.68,113.13,187.84,55.32
2022-06-14,135.50,350.81,111.41,182.82,55.98
2022-06-15,136.36,350.88,112.75,188.44,56.60
2022-06-16,137.02,350.44,111.63,190.43,55.90
2022-06-17,137.24,349.24,112.34,191.17,57.02
2022-06-20,136.07,346.47,110.05,189.52,57.30
2022-06-21,137.95,346.43,112.14,193.14,58.02
2022-06-22,142.65,351.33,112.53,189.79,59.52
2022-06-23,144.37,353.94,113.90,187.61,62.11
2022-06-24,144.75,355.03,115.32,189.05,62.47
2022-06-27,142.81,353.71,117.46,192.19,64.49
2022-06-28,141.58,348.38,116.19,191.48,65.72
2022-06-29,137.47,347.21,114.14,189.89,64.28
2022-06-30,133.57,343.75,112.29,185.92,62.33
2022-07-01,132.84,348.39,112.05,182.92,61.79
2022-07-04,132.25,338.25,110.66,180.93,62.40
2022-07-05,136.69,349.51,113.22,180.30,65.49
2022-07-06,136.89,349.97,113.31,180.86,65.37
2022-07-07,135.56,345.99,112.29,178.96,64.31
2022-07-08,135.87,345.70,114.77,173.05,65.00
2022-07-11,138.95,343.61,115.25,172.20,63.32
2022-07-12,137.11,337.00,116.61,173.41,64.83
2022-07-13,138.92,336.13,116.40,174.54,63.54
2022-07-14,140.74,338.22,116.75,176.59,64.30
2022-07-15,139.90,340.95,114.95,178.25,65.20
2022-07-18,139.19,341.04,112.68,180.27,65.20
2022-07-19,137.97,342.78,111.26,177.12,63.07
2022-07-20,139.51,340.93,114.45,172.44,64.59
2022-07-21,140.09,341.59,113.87,173.46,64.67
2022-07-22,142.90,346.47,115.74,173.55,64.67
2022-07-25,143.73,341.96,113.42,174.62,65.04
2022-07-26,143.32,341.49,113.75,173.36,63.97
2022-07-27,143.88,339.09,114.36,169.36,64.80
2022-07-28,145.14,341.97,116.75,173.64,66.43
2022-07-29,140.56,330.82,112.71,171.80,66.81
2022-08-01,138.83,328.89,110.63,170.01,64.91
2022-08-02,136.64,321.26,107.47,171.06,63.87
2022-08-03,143.19,332.81,111.50,171.32,64.86
2022-08-04,141.80,331.22,114.83,170.99,66.08
2022-08-05,140.11,328.64,116.72,169.27,68.03
2022-08-08,141.92,329.61,118.61,171.77,69.08
2022-08-09,138.10,321.61,115.70,170.20,69.63
2022-08-10,138.59,318.15,116.11,171.15,70.45
2022-08-11,141.32,324.94,118.77,172.23,68.47
2022-08-12,142.45,327.38,119.97,169.87,66.89
2022-08-15,145.18,331.35,122.72,170.76,67.04
2022-08-16,147.66,333.34,124.14,170.23,66.50
2022-08-17,146.91,333.09,122.97,172.92,65.67
2022-08-18,146.49,331.10,125.06,173.19,66.89
2022-08-19,142.76,326.61,124.48,172.54,68.03
2022-08-22,141.52,329.48,128.35,172.22,67.31
2022-08-23,145.25,340.46,130.41,173.05,67.15
2022-08-24,141.90,332.42,126.15,169.95,66.77
2022-08-25,142.55,338.69,125.42,172.98,66.86
2022-08-26,142.48,340.97,123.69,174.08,67.23
2022-08-29,143.78,344.05,128.95,173.36,66.42
2022-08-30,142.27,339.91,126.64,175.35,68.38
2022-08-31,140.90,335.09,126.29,173.40,68.92
2022-09-01,141.46,330.98,128.79,177.09,68.45
2022-09-02,140.55,330.65,128.93,178.53,71.15
2022-09-05,140.17,327.53,125.91,176.30,70.93
2022-09-06,144.73,332.71,128.94,177.41,72.72
2022-09-07,151.39,340.75,131.91,181.49,74.25
2022-09-08,156.47,350.18,134.55,184.61,76.25
2022-09-09,158.81,355.43,138.23,188.46,78.63
2022-09-12,160.70,357.65,139.59,191.93,77.85
2022-09-13,161.82,357.92,140.14,195.29,78.49
2022-09-14,162.01,353.46,141.12,196.39,81.77
2022-09-15,161.20,353.18,141.22,200.38,82.01
2022-09-16,162.06,356.65,142.39,199.85,82.26
2022-09-19,165.23,357.51,144.12,198.47,84.01
2022-09-20,160.91,349.62,141.98,201.06,84.06
2022-09-21,159.41,354.20,139.07,195.86,84.23
2022-09-22,158.06,348.80,139.18,195.67,83.25
2022-09-23,154.60,346.96,138.69,194.93,85.94
2022-09-26,151.77,337.76,134.93,193.18,86.08
2022-09-27,151.18,338.21,132.39,196.77,86.41
2022-09-28,154.25,343.87,135.27,199.42,87.48
2022-09-29,156.07,351.21,137.34,202.58,87.72
2022-09-30,160.15,354.77,143.09,203.55,85.54
2022-10-03,160.58,353.05,144.74,201.72,84.60
2022-10-04,155.38,344.19,136.54,195.70,85.13
2022-10-05,157.61,348.93,136.24,196.42,85.31
2022-10-06,154.48,349.78,136.67,195.82,85.16
2022-10-07,155.11,343.70,135.70,193.26,83.34
2022-10-10,154.41,349.00,137.28,192.63,84.11
2022-10-11,158.33,358.06,140.23,192.67,85.30
2022-10-12,159.50,363.09,142.62,196.20,84.85
2022-10-13,163.31,369.47,149.36,195.85,87.55
2022-10-14,163.95,368.09,148.45,194.89,88.17
2022-10-17,165.53,368.35,149.12,200.56,91.74
2022-10-18,166.88,370.51,150.24,202.62,90.28
2022-10-19,166.19,363.51,149.84,203.32,89.50
2022-10-20,170.94,365.74,149.13,204.52,91.59
2022-10-21,176.16,371.27,154.38,205.77,91.50
2022-10-24,179.00,377.66,153.02,210.79,94.61
2022-10-25,177.11,376.68,153.14,211.28,93.63
2022-10-26,175.09,373.92,154.43,212.34,92.99
2022-10-27,177.56,366.80,157.03,206.89,91.73
2022-10-28,174.16,357.70,156.82,204.16,91.84
2022-10-31,174.08,359.41,157.19,201.07,93.18
2022-11-01,172.64,352.07,154.57,203.79,94.96
2022-11-02,171.65,349.64,153.09,208.88,96.23
2022-11-03,173.03,355.17,154.98,209.20,95.94
2022-11-04,172.88,354.93,156.46,209.39,97.21
2022-11-07,172.70,355.07,152.07,211.74,98.24
2022-11-08,175.84,349.04,157.09,210.89,100.10
2022-11-09,172.71,347.25,153.18,208.59,103.40
2022-11-10,172.20,347.44,154.84,210.03,103.79
2022-11-11,173.38,357.55,156.67,212.29,106.17
2022-11-14,176.87,366.57,160.90,210.91,109.30
2022-11-15,173.40,363.13,157.18,209.89,109.78
2022-11-16,174.45,366.18,161.67,211.85,109.46
2022-11-17,177.52,374.83,161.48,214.98,111.48
2022-11-18,176.66,378.94,161.31,215.89,111.23
2022-11-21,176.78,375.07,157.61,219.71,110.10
2022-11-22,173.78,363.17,153.30,213.88,112.65
2022-11-23,176.98,365.02,159.88,217.41,112.37
2022-11-24,169.41,363.23,153.22,211.83,113.64
2022-11-25,176.93,378.82,159.89,216.55,116.29
2022-11-28,179.39,383.37,161.82,217.29,114.85
2022-11-29,178.57,375.94,160.22,213.39,111.98
2022-11-30,179.21,382.18,163.43,210.16,109.47
2022-12-01,182.28,382.70,164.34,211.98,107.86
2022-12-02,182.70,378.28,162.52,212.22,104.81
2022-12-05,184.20,380.30,164.71,213.33,107.62
2022-12-06,184.68,379.40,165.07,214.79,107.91
2022-12-07,184.88,377.12,163.30,210.57,110.94
2022-12-08,180.94,369.46,158.91,211.54,110.40
2022-12-09,185.04,372.41,161.69,210.07,114.75
2022-12-12,181.28,368.76,160.98,210.45,114.25
2022-12-13,180.94,368.57,160.46,213.06,119.39
2022-12-14,179.24,361.45,158.52,219.05,118.41
2022-12-15,184.57,374.66,161.41,223.18,122.83
2022-12-16,183.41,372.48,159.30,219.81,120.90
2022-12-19,179.57,367.67,155.31,219.37,117.35
2022-12-20,180.69,372.33,152.10,221.10,120.48
2022-12-21,176.95,373.65,151.60,219.05,119.92
2022-12-22,178.77,376.50,153.88,217.12,120.03
2022-12-23,174.44,370.30,149.32,213.72,122.24
2022-12-26,177.90,377.40,149.37,214.12,125.28
2022-12-27,178.42,387.07,151.63,216.19,124.86
2022-12-28,178.91,387.27,153.36,219.05,123.43
2022-12-29,174.83,374.72,151.10,213.83,117.70
2022-12-30,176.10,386.08,153.08,218.00,118.52
2023-01-02,175.86,389.41,152.77,219.23,119.41
2023-01-03,173.87,390.53,151.68,217.10,120.25
2023-01-04,171.21,386.88,150.05,219.44,121.55
2023-01-05,171.20,390.15,153.40,221.68,121.78
2023-01-06,167.35,380.51,149.84,218.17,120.75
2023-01-09,167.58,382.98,150.09,219.96,121.16
2023-01-10,161.91,371.19,145.80,214.30,121.50
2023-01-11,166.41,382.52,148.75,220.62,122.92
2023-01-12,165.49,378.93,147.27,218.89,123.05
2023-01-13,166.02,379.83,148.51,222.55,125.74
2023-01-16,161.80,364.26,146.58,216.00,124.02
2023-01-17,158.55,353.22,144.79,216.17,122.55
2023-01-18,151.53,341.30,140.82,209.60,121.71
2023-01-19,151.55,343.40,141.33,207.35,124.07
2023-01-20,151.19,342.87,139.26,205.99,121.91
2023-01-23,150.79,348.29,137.11,202.43,124.82
2023-01-24,150.29,345.33,138.51,200.47,128.67
2023-01-25,152.16,346.48,143.76,199.46,130.16
2023-01-26,153.03,352.39,148.14,200.66,128.46
2023-01-27,154.34,352.03,152.95,201.28,127.57
2023-01-30,154.90,348.23,150.62,203.85,126.53
2023-01-31,152.13,346.15,151.49,205.31,128.91
2023-02-01,150.17,338.52,152.62,203.25,127.76
2023-02-02,153.79,345.76,156.45,210.60,127.51
2023-02-03,156.39,349.79,158.92,215.76,129.59
2023-02-06,157.95,355.92,159.76,214.54,127.01
2023-02-07,152.63,355.48,154.62,213.29,126.07
2023-02-08,153.52,359.84,157.54,212.55,125.53
2023-02-09,154.35,360.28,161.61,214.23,127.40
2023-02-10,156.22,367.48,164.01,211.98,128.06
2023-02-13,154.50,363.04,163.81,214.64,128.39
2023-02-14,155.41,370.76,165.94,223.37,131.09
2023-02-15,150.71,366.37,163.71,226.02,132.91
2023-02-16,150.41,361.53,162.36,222.75,131.00
2023-02-17,152.04,370.27,165.38,220.93,131.84
2023-02-20,155.34,373.24,167.23,221.78,130.20
2023-02-21,157.19,375.74,169.55,219.87,128.90
2023-02-22,159.27,377.62,175.09,219.40,129.29
2023-02-23,161.98,376.45,172.06,215.05,131.91
2023-02-24,160.47,384.00,171.00,216.53,135.96
2023-02-27,166.32,401.22,179.50,222.64,138.57
2023-02-28,168.69,402.76,178.89,223.02,138.36
2023-03-01,167.41,403.71,180.75,223.42,142.11
2023-03-02,164.14,397.95,176.40,216.94,140.76
2023-03-03,163.85,403.67,178.62,214.94,145.26
2023-03-06,167.49,411.91,181.13,213.74,144.22
2023-03-07,170.80,425.18,188.78,214.61,141.41
2023-03-08,171.29,418.61,188.94,213.43,139.97
2023-03-09,166.61,413.44,184.26,209.13,131.92
2023-03-10,166.60,420.92,189.66,209.05,130.31
2023-03-13,168.05,419.18,191.01,211.09,133.64
2023-03-14,167.82,418.07,188.38,208.62,132.75
2023-03-15,168.98,423.89,187.72,213.52,132.98
2023-03-16,168.98,420.85,181.03,215.38,135.31
2023-03-17,168.21,420.01,181.80,210.97,133.21
2023-03-20,170.65,418.74,183.66,207.38,133.83
2023-03-21,170.61,412.08,185.68,204.69,131.28
2023-03-22,171.29,418.01,184.25,205.61,132.60
2023-03-23,173.46,422.27,185.03,204.13,132.67
2023-03-24,170.28,405.37,182.06,204.15,126.83
2023-03-27,167.34,403.45,185.50,203.92,124.83
2023-03-28,166.87,408.40,184.28,202.40,123.52
2023-03-29,164.15,404.72,186.46,202.71,122.77
2023-03-30,163.38,397.33,187.21,201.57,122.07
2023-03-31,172.91,413.43,192.91,203.29,125.35
2023-04-03,173.32,408.26,194.83,201.02,129.32
2023-04-04,176.73,411.66,200.78,202.03,131.55
2023-04-05,178.32,410.66,199.68,204.71,131.28
2023-04-06,177.12,405.11,199.32,209.48,129.39
2023-04-07,177.27,411.20,200.12,211.57,127.21
2023-04-10,178.69,412.64,203.91,215.28,134.00
2023-04-11,180.59,416.93,206.20,215.08,134.85
2023-04-12,179.73,416.46,209.46,212.31,137.12
2023-04-13,184.03,422.44,206.63,211.61,140.67
2023-04-14,184.02,418.35,204.52,213.36,142.43
2023-04-17,183.32,415.91,202.63,210.44,146.24
2023-04-18,182.36,419.69,207.04,213.78,145.48
2023-04-19,183.73,421.73,205.50,215.01,142.69
2023-04-20,187.70,425.69,208.86,216.69,142.40
2023-04-21,189.73,426.72,212.69,213.34,142.15
2023-04-24,196.41,432.09,215.13,215.94,143.35
2023-04-25,197.70,436.16,218.39,219.79,145.08
2023-04-26,196.94,438.14,224.16,219.83,142.29
2023-04-27,200.91,443.37,220.41,223.07,141.74
2023-04-28,200.67,444.62,221.05,225.32,140.94
2023-05-01,202.57,446.28,224.64,227.60,138.87
2023-05-02,206.57,449.63,229.92,229.54,144.03
2023-05-03,205.84,447.16,229.04,228.29,145.94
2023-05-04,200.14,434.67,220.52,228.90,150.63
2023-05-05,199.85,433.65,220.40,232.24,148.59
2023-05-08,200.77,439.31,223.37,233.76,151.60
2023-05-09,191.50,429.17,214.64,226.14,151.48
2023-05-10,196.27,435.54,221.19,232.32,156.36
2023-05-11,202.12,447.25,226.53,229.62,155.39
2023-05-12,199.21,452.95,225.28,230.54,157.06
2023-05-15,199.44,461.16,224.73,232.20,155.29
2023-05-16,194.93,451.77,220.64,229.35,152.66
2023-05-17,190.23,444.49,212.34,230.14,152.99
2023-05-18,185.48,436.08,206.25,229.51,156.61
2023-05-19,179.52,427.62,201.23,229.84,157.05
2023-05-22,177.22,422.86,197.03,232.13,157.49
2023-05-23,183.34,432.04,199.72,229.39,152.17
2023-05-24,178.36,425.70,197.50,223.54,153.44
2023-05-25,176.92,424.22,200.96,226.01,152.89
2023-05-26,174.23,411.23,195.49,223.29,149.60
2023-05-29,173.89,411.15,194.66,221.39,149.74
2023-05-30,175.32,408.94,198.99,221.08,149.65
2023-05-31,177.60,413.42,203.64,222.86,148.26
2023-06-01,178.81,410.61,204.16,222.50,147.65
2023-06-02,178.47,402.58,201.12,221.57,147.96
2023-06-05,175.34,403.19,197.06,224.14,149.53
2023-06-06,173.42,407.63,193.42,227.22,152.91
2023-06-07,171.45,410.43,192.08,228.32,153.78
2023-06-08,171.11,413.35,194.47,223.70,156.61
2023-06-09,166.23,410.06,194.27,219.80,154.41
2023-06-12,163.09,404.29,190.75,220.93,158.29
2023-06-13,167.22,408.65,193.19,217.15,155.45
2023-06-14,170.16,420.09,193.20,217.22,155.65
2023-06-15,171.07,418.25,194.57,215.79,155.33
2023-06-16,172.79,421.09,194.75,216.00,155.23
2023-06-19,171.74,418.47,198.15,217.31,154.41
2023-06-20,173.93,420.60,203.00,218.97,154.37
2023-06-21,175.38,416.37,199.98,215.09,154.22
2023-06-22,180.90,434.43,207.66,219.46,150.11
2023-06-23,179.24,428.61,204.04,218.04,148.54
2023-06-26,173.16,422.46,196.70,217.32,154.08
2023-06-27,170.45,407.84,192.20,218.19,159.81
2023-06-28,166.86,404.41,188.45,217.08,167.48
2023-06-29,162.56,398.79,186.42,219.04,167.91
2023-06-30,163.51,398.83,187.65,218.21,169.69
2023-07-03,162.51,398.87,187.01,221.36,170.10
2023-07-04,157.57,396.11,181.46,218.59,167.56
2023-07-05,161.50,394.03,191.58,221.99,168.74
2023-07-06,161.41,395.12,193.08,224.08,170.83
2023-07-07,161.73,394.94,192.82,223.54,174.36
2023-07-10,163.50,386.29,194.24,223.06,174.19
2023-07-11,162.44,389.14,196.66,221.29,174.99
2023-07-12,159.75,379.80,191.84,222.08,178.18
2023-07-13,161.26,385.00,194.96,221.25,179.45
2023-07-14,163.62,391.66,200.74,224.65,181.31
2023-07-17,166.81,396.54,200.94,225.15,179.19
2023-07-18,164.90,393.15,197.05,223.53,172.70
2023-07-19,165.59,394.31,195.38,225.64,176.26
2023-07-20,161.02,384.45,189.10,220.97,177.88
2023-07-21,160.54,382.79,183.33,222.34,174.32
2023-07-24,160.77,384.31,187.22,219.01,164.08
2023-07-25,161.36,392.32,192.09,221.00,162.87
2023-07-26,163.74,392.29,194.75,222.74,166.48
2023-07-27,171.97,406.57,200.34,225.49,162.05
2023-07-28,169.95,401.94,196.99,225.05,159.49
2023-07-31,173.41,407.29,199.75,225.22,160.12
2023-08-01,176.02,407.78,199.44,224.60,156.24
2023-08-02,173.57,402.30,199.63,224.47,156.58
2023-08-03,176.26,405.86,202.80,224.98,157.51
2023-08-04,174.53,393.67,199.47,227.21,160.55
2023-08-07,177.60,403.17,202.96,229.53,159.26
2023-08-08,176.68,404.42,206.08,229.37,157.75
2023-08-09,176.75,407.07,202.41,222.93,155.17
2023-08-10,173.06,399.65,198.72,220.26,158.75
2023-08-11,174.13,402.55,201.52,217.63,161.31
2023-08-14,173.96,405.12,198.82,213.57,163.08
2023-08-15,175.19,403.41,196.81,216.51,160.23
2023-08-16,180.41,407.52,202.10,216.69,162.20
2023-08-17,178.76,404.57,200.83,213.38,163.71
2023-08-18,177.22,401.51,196.72,205.83,161.67
2023-08-21,185.00,416.11,203.15,207.69,162.44
2023-08-22,186.87,414.00,207.01,209.61,164.94
2023-08-23,188.40,416.36,210.18,211.74,164.27
2023-08-24,186.57,414.30,213.41,208.13,158.94
2023-08-25,187.19,415.50,214.46,209.04,158.46
2023-08-28,192.25,416.09,214.86,209.17,154.00
2023-08-29,191.73,422.43,215.67,210.62,150.71
2023-08-30,189.74,418.14,212.90,213.42,152.73
2023-08-31,186.13,414.14,211.71,215.85,157.52
2023-09-01,182.90,406.30,204.97,213.78,158.48
2023-09-04,186.19,410.78,206.55,215.08,156.45
2023-09-05,193.25,414.14,211.44,221.87,157.96
2023-09-06,192.68,411.98,210.24,225.51,152.25
2023-09-07,198.05,413.50,212.52,224.89,154.02
2023-09-08,192.62,408.17,214.76,220.02,153.29
2023-09-11,190.46,407.05,213.44,217.91,154.21
2023-09-12,196.70,414.89,220.36,215.92,151.31
2023-09-13,198.42,423.58,223.88,216.41,151.42
2023-09-14,194.17,420.37,223.71,214.52,149.53
2023-09-15,195.16,420.02,223.98,220.48,149.94
2023-09-18,194.01,415.83,224.93,219.40,147.84
2023-09-19,198.66,428.36,227.81,216.15,150.27
2023-09-20,196.36,428.65,220.38,218.38,147.44
2023-09-21,198.98,432.50,219.49,217.87,149.42
2023-09-22,199.44,435.79,226.44,214.17,153.09
2023-09-25,199.88,432.62,221.97,213.18,155.68
2023-09-26,199.51,438.80,218.29,213.81,152.37
2023-09-27,200.88,444.77,218.66,207.54,151.86
2023-09-28,202.51,449.03,224.03,205.44,153.32
2023-09-29,206.90,447.35,227.12,204.25,152.96
2023-10-02,208.26,447.17,225.66,204.38,150.05
2023-10-03,204.39,444.94,219.66,205.55,151.54
2023-10-04,198.34,433.59,218.27,201.31,149.10
2023-10-05,200.04,439.53,219.36,200.59,153.02
2023-10-06,206.35,452.93,225.14,200.52,150.89
2023-10-09,208.35,457.77,231.45,203.06,147.16
2023-10-10,212.34,458.90,232.53,204.11,153.05
2023-10-11,224.40,478.51,241.51,208.58,156.87
2023-10-12,223.22,485.66,242.80,210.72,159.17
2023-10-13,224.98,492.36,242.69,210.04,155.96
2023-10-16,226.82,498.95,246.26,215.58,157.00
2023-10-17,229.60,497.54,246.16,217.55,159.97
2023-10-18,228.51,495.79,240.13,216.16,162.48
2023-10-19,230.93,501.80,242.47,217.05,160.75
2023-10-20,233.89,508.19,246.65,216.56,154.42
2023-10-23,238.55,512.36,246.69,219.22,154.01
2023-10-24,243.15,522.04,252.90,216.80,157.12
2023-10-25,244.37,521.93,254.00,211.98,157.42
2023-10-26,240.07,509.21,244.53,213.30,155.86
2023-10-27,246.75,515.64,242.95,211.20,159.43
2023-10-30,246.17,512.18,242.67,212.21,162.91
2023-10-31,252.64,519.06,242.28,212.09,164.01
2023-11-01,248.49,508.80,239.91,210.68,163.65
2023-11-02,245.28,503.54,234.53,212.30,167.13
2023-11-03,237.52,488.80,223.92,208.33,165.97
2023-11-06,231.61,476.67,216.32,207.11,165.84
2023-11-07,228.78,473.87,212.96,205.88,170.74
2023-11-08,234.34,475.16,218.17,208.64,167.81
2023-11-09,237.85,487.28,218.08,207.68,171.04
2023-11-10,239.08,491.74,220.31,209.36,167.25
2023-11-13,243.64,503.73,223.35,210.84,163.04
2023-11-14,245.96,509.85,225.05,214.77,162.88
2023-11-15,248.52,508.18,225.87,214.28,163.54
2023-11-16,247.00,505.65,227.44,212.81,158.33
2023-11-17,254.85,523.23,229.30,217.02,158.02
2023-11-20,256.14,526.62,229.57,215.27,155.75
2023-11-21,252.13,517.13,226.25,212.07,157.01
2023-11-22,258.94,523.15,230.83,214.53,159.02
2023-11-23,259.39,527.78,233.24,211.70,161.01
2023-11-24,263.58,529.34,235.41,214.02,160.94
2023-11-27,268.73,548.92,237.79,212.47,161.78
2023-11-28,272.28,552.44,244.73,209.51,163.22
2023-11-29,269.49,558.47,251.25,208.09,161.01
2023-11-30,273.72,562.05,253.51,208.75,155.63
2023-12-01,273.76,558.39,251.24,212.31,152.75
2023-12-04,277.83,562.29,252.62,215.11,154.36
2023-12-05,280.75,571.74,254.09,214.49,151.29
2023-12-06,276.80,583.67,258.46,211.85,146.97
2023-12-07,279.28,590.39,262.54,212.00,146.66
