Date,SPY,TLT,IEF,GLD,VNQ,DBC
2016-04-15,201.3752,123.5194,107.2169,131.0216,73.4352,14.4319
2016-04-18,202.7425,122.8258,107.3058,131.5281,72.9163,14.5406
2016-04-19,203.0368,122.7696,107.3221,132.3326,72.8624,14.5891
2016-04-20,201.3651,122.445,107.3967,128.6716,72.8527,14.375
2016-04-21,201.4492,122.9696,107.4819,128.7086,72.0643,14.3923
2016-04-22,201.3694,124.4369,108.0058,128.4744,72.1244,14.3443
2016-04-25,203.8953,123.482,107.7701,129.4042,72.092,14.4042
2016-04-26,204.9202,124.8082,108.2277,129.7784,73.1655,14.4152
2016-04-27,204.9136,125.6181,108.497,128.5292,72.679,14.422
2016-04-28,207.8194,124.9241,108.3757,128.021,73.9395,14.5338
2016-04-29,210.8331,124.2856,108.5731,128.5043,75.8182,14.5296
2016-05-02,213.481,124.4565,108.79,130.8686,77.2419,14.3762
2016-05-03,219.8076,124.3184,108.8948,131.8982,79.5252,14.794
2016-05-04,221.0473,125.2663,109.3339,132.5763,79.712,14.7607
2016-05-05,221.2054,125.5178,109.3212,132.7624,80.3541,14.7724
2016-05-06,222.7338,125.485,109.3046,132.5304,80.1301,14.8466
2016-05-09,223.8229,125.859,109.4183,133.2173,80.6539,15.0871
2016-05-10,227.7303,124.5766,109.1569,132.3807,81.6402,15.2793
2016-05-11,227.2199,124.9408,109.2584,132.2337,81.5423,15.1253
2016-05-12,225.1083,126.3675,109.6204,131.7472,81.0986,15.025
2016-05-13,223.7962,126.708,109.7141,131.0266,80.8315,14.8869
2016-05-16,219.5077,126.875,109.71,129.7703,79.2246,14.7221
2016-05-17,219.6485,127.2925,109.9699,127.7038,79.6024,14.7521
2016-05-18,218.0668,127.8554,110.0354,128.068,79.0535,14.7559
2016-05-19,218.3384,127.5424,109.8923,127.6816,79.0207,14.6927
2016-05-20,216.5818,127.5925,109.8342,126.2267,78.1974,14.62
2016-05-23,217.058,128.1806,110.0111,127.0086,78.8917,14.5747
2016-05-24,216.8739,128.0576,110.0133,126.6749,78.8211,14.6513
2016-05-25,218.3803,128.2943,110.0225,125.8101,79.5338,14.6927
2016-05-26,219.3066,125.7553,109.4445,125.2254,79.5478,14.869
2016-05-27,219.3797,128.4771,110.1307,126.2872,80.0271,14.8029
2016-05-30,215.3566,128.977,110.3652,126.8253,78.2347,14.6847
2016-05-31,215.692,130.8167,110.9031,126.0629,77.0561,14.5809
2016-06-01,219.8512,129.9462,110.5996,124.9944,77.939,14.5847
2016-06-02,223.5557,128.5964,110.1747,125.6801,80.0627,14.8921
2016-06-03,225.2068,127.3572,109.805,125.5197,80.7029,15.042
2016-06-06,224.9195,128.0838,109.7273,125.6343,80.5455,15.0418
2016-06-07,222.4775,129.423,110.1966,125.2844,79.8321,14.9853
2016-06-08,222.187,129.6288,110.2293,126.9107,79.5276,15.0818
2016-06-09,219.5518,129.8039,110.1721,127.422,78.8319,15.0063
2016-06-10,219.3487,130.4465,110.477,127.5283,78.5628,14.9375
2016-06-13,221.7349,129.8847,110.3844,128.0538,79.445,14.8334
2016-06-14,223.5353,129.202,110.198,128.5902,79.7937,14.9545
2016-06-15,224.0643,129.4991,110.3854,128.6782,78.073,15.1075
2016-06-16,222.9776,130.0706,110.6789,128.7918,78.1411,15.1645
2016-06-17,221.5003,129.7283,110.779,128.1426,77.9494,15.0693
2016-06-20,223.573,129.3418,110.5694,127.7458,78.9105,15.2433
2016-06-21,222.713,129.4576,110.6345,126.4255,78.7762,14.9848
2016-06-22,222.2915,129.6949,110.6903,125.3943,78.6075,14.7955
2016-06-23,223.0815,129.4624,110.668,125.193,78.8972,14.9682
2016-06-24,224.7212,128.81,110.4627,124.2022,79.5973,15.1402
2016-06-27,220.6843,130.2878,110.8695,124.2056,78.8353,15.0107
2016-06-28,222.5767,129.443,110.7039,122.512,79.4212,15.013
2016-06-29,223.3321,129.2328,110.4582,122.8485,80.1568,15.001
2016-06-30,224.1527,128.8545,110.3876,123.8784,80.1496,14.9888
2016-07-01,227.3317,128.5053,110.2665,124.6127,81.3388,15.0552
2016-07-04,228.4642,128.1327,110.1929,123.4221,82.061,15.1332
2016-07-05,227.9176,128.7345,110.38,123.3218,81.2103,15.1198
2016-07-06,227.1621,129.2104,110.5968,123.5242,81.3712,15.2223
2016-07-07,226.1366,128.9737,110.4126,123.5086,80.8555,15.1883
2016-07-08,225.3972,130.2379,110.9768,123.7436,80.5502,15.1309
2016-07-11,226.8003,130.2309,110.7194,123.0348,80.8173,15.1161
2016-07-12,226.4587,130.6094,110.7792,123.1837,81.1576,15.0477
2016-07-13,227.8284,129.7791,110.5871,122.2099,81.3467,15.1662
2016-07-14,227.2073,129.1587,110.4318,119.9846,81.6159,14.9231
2016-07-15,223.4526,129.7536,110.3437,120.228,80.8552,14.9748
2016-07-18,224.3161,129.0717,109.941,120.9824,81.0557,15.1021
2016-07-19,226.7365,130.293,110.2619,121.3603,81.6726,15.1684
2016-07-20,225.6346,130.5533,110.0458,118.7722,80.9546,15.0332
2016-07-21,220.0382,131.4762,110.1918,119.2986,80.0291,14.9769
2016-07-22,219.5258,132.059,110.4408,120.1261,79.7609,14.9061
2016-07-25,220.4289,131.9721,110.3321,120.7118,80.4029,14.9776
2016-07-26,221.0647,132.275,110.38,120.4873,79.9297,15.0243
2016-07-27,219.9176,132.9654,110.6108,120.2022,79.1671,14.9669
2016-07-28,218.8514,134.3475,111.1216,121.3384,79.1253,14.8704
2016-07-29,217.8648,134.2761,111.0358,124.0043,77.945,15.0829
2016-08-01,217.9167,133.7523,110.8341,124.2934,77.0139,15.2509
2016-08-02,220.1017,132.9913,110.4681,124.7344,76.3664,15.1187
2016-08-03,222.5368,133.1231,110.5185,124.8785,77.0652,15.129
2016-08-04,222.7767,133.2164,110.5007,124.094,77.5118,15.1593
2016-08-05,218.4385,133.1075,110.514,123.8043,75.8232,15.0955
2016-08-08,220.5202,133.5173,110.6525,124.0803,76.7181,15.0301
2016-08-09,217.9961,134.7429,110.8886,124.7442,75.8599,14.9247
2016-08-10,218.7397,134.1166,110.7345,124.7005,76.1712,14.9843
2016-08-11,217.8508,135.5421,111.1593,123.462,74.9967,15.0224
2016-08-12,218.2502,135.4235,111.2366,123.5528,75.6701,15.1396
2016-08-15,220.7527,135.2493,110.6498,123.2304,76.96,15.0377
2016-08-16,221.587,135.2929,110.848,125.2569,77.1078,15.1237
2016-08-17,221.9372,135.7936,111.0441,125.2286,77.2732,15.2033
2016-08-18,222.5664,137.0954,111.3565,124.3704,76.6231,15.213
2016-08-19,223.0462,136.2524,111.0787,123.737,77.1612,15.1392
2016-08-22,221.1648,136.845,111.2263,124.163,76.8958,15.1159
2016-08-23,219.8816,137.82,111.2468,123.4987,76.48,14.9713
2016-08-24,219.2911,138.6845,111.4475,123.0729,76.2938,14.896
2016-08-25,219.829,139.193,111.655,123.0102,76.647,15.0707
2016-08-26,220.4819,140.0248,111.8412,123.6514,77.4485,15.2081
2016-08-29,221.3693,139.4688,111.594,122.4869,78.6887,15.3019
2016-08-30,220.7917,138.6104,111.3454,122.1283,77.5427,15.3154
2016-08-31,219.3322,139.1393,111.6639,121.2286,77.8973,15.2758
2016-09-01,222.3754,138.6071,111.5432,121.762,79.1422,15.3556
2016-09-02,223.4466,141.1503,112.3468,123.7263,80.5094,15.366
2016-09-05,228.7186,141.0903,112.4406,123.4665,81.8064,15.5055
2016-09-06,218.3872,144.0447,113.2004,124.3787,78.8693,15.3078
2016-09-07,219.4784,141.7888,112.6118,120.5389,78.97,15.2717
2016-09-08,221.1722,145.3965,113.7045,121.8294,80.0391,15.2249
2016-09-09,220.1762,147.629,114.3637,122.643,80.5941,15.184
2016-09-12,220.5585,148.9586,114.7887,123.4648,80.8633,15.2769
2016-09-13,221.2791,147.3244,114.34,123.6446,80.8502,15.33
2016-09-14,222.6553,146.7792,114.2765,123.0435,80.8977,15.3501
2016-09-15,223.4927,145.3886,113.895,122.1656,81.1457,15.132
2016-09-16,223.6063,145.5284,113.8632,122.3536,81.2467,15.202
2016-09-19,221.9644,146.0459,113.9126,122.8868,80.6587,15.1895
2016-09-20,223.2077,145.6397,113.8869,123.1659,81.0698,15.0994
2016-09-21,222.3598,145.7083,113.8051,124.2129,81.5874,14.9075
2016-09-22,222.4285,145.9272,113.8438,124.5929,80.8613,14.7905
2016-09-23,225.9972,146.2444,113.949,125.8863,82.4757,14.9036
2016-09-26,226.5871,148.2547,114.5496,126.9798,82.899,14.9101
2016-09-27,228.7878,148.7318,114.6103,125.2399,83.5054,14.9926
2016-09-28,230.764,152.0675,115.464,126.64,85.584,14.9551
2016-09-29,231.7244,152.2439,115.2332,127.3508,85.8432,14.9823
2016-09-30,232.0676,152.1097,115.1531,127.3829,86.6305,14.8474
2016-10-03,231.114,151.8204,114.8884,126.0458,86.2497,14.6635
2016-10-04,232.7892,150.8781,114.5115,126.5288,86.7047,14.7064
2016-10-05,234.8426,149.9781,114.0709,128.0414,86.573,14.7315
2016-10-06,232.8426,149.7474,114.01,127.2353,85.4284,14.7618
2016-10-07,232.0052,151.1973,114.3929,127.7543,85.3949,14.882
2016-10-10,231.3853,150.945,114.3432,126.0939,84.7192,14.6764
2016-10-11,233.1098,150.7964,114.3979,126.5347,85.722,14.6256
2016-10-12,232.9085,150.6227,114.4202,127.3423,85.3831,14.8089
2016-10-13,227.1087,152.9865,115.0147,127.4167,84.2247,15.1703
2016-10-14,227.1349,153.7635,115.213,126.8767,84.4489,15.0958
2016-10-17,228.6786,152.7785,114.968,127.051,85.2542,15.0243
2016-10-18,232.3626,151.8577,114.8944,127.2635,87.3155,15.2203
2016-10-19,231.5241,151.9487,115.068,126.7019,87.5413,15.2627
2016-10-20,233.1915,151.4916,114.9101,126.3277,87.6593,15.399
2016-10-21,237.5109,151.0152,115.0784,127.2732,89.2461,15.7092
2016-10-24,241.13,152.0815,115.4337,127.2239,90.9061,15.6319
2016-10-25,240.9671,153.2952,115.9143,126.5253,91.7739,15.5497
2016-10-26,240.6498,154.0435,116.1917,127.9888,91.7153,15.5696
2016-10-27,244.5002,152.842,116.0218,129.6855,93.019,15.7202
2016-10-28,245.8364,151.9923,115.8869,130.0047,94.5065,15.6834
2016-10-31,246.1849,150.9984,115.5741,127.3684,94.4109,15.4993
2016-11-01,245.5531,151.439,115.7035,125.2004,94.5074,15.3129
2016-11-02,244.9173,151.7642,115.7697,125.2192,93.9815,15.4042
2016-11-03,245.5741,151.8258,115.8879,125.7431,93.3165,15.4771
2016-11-04,244.2578,152.5262,115.9849,125.5932,93.01,15.3648
2016-11-07,242.3824,153.2488,116.0038,127.0777,92.3506,15.5092
2016-11-08,241.9788,153.8143,116.243,127.0301,92.2241,15.3932
2016-11-09,243.057,154.0766,116.2943,127.5003,92.6563,15.3795
2016-11-10,242.2617,154.4613,116.3767,128.278,92.2816,15.2711
2016-11-11,241.2128,154.8437,116.3732,129.2801,92.2831,15.2156
2016-11-14,238.467,161.3186,118.0789,130.8357,93.3115,14.974
2016-11-15,237.1676,160.2086,117.5205,126.9352,93.3799,14.8538
2016-11-16,239.5059,158.4845,117.1079,126.2116,94.2663,14.9285
2016-11-17,240.4599,158.5983,116.9829,125.7636,94.8272,14.8209
2016-11-18,241.481,158.874,117.0895,124.7438,95.7418,14.7956
2016-11-21,244.7788,158.4972,116.995,124.6939,97.1118,14.8555
2016-11-22,247.0202,158.2235,116.8782,125.359,96.752,14.802
2016-11-23,245.8568,158.9969,117.1217,125.8972,96.8762,14.7673
2016-11-24,243.8501,160.2164,117.256,126.5022,96.8506,14.6206
2016-11-25,243.0665,159.5445,117.3162,126.5749,94.8788,14.5662
2016-11-28,243.6094,159.8982,117.4204,125.6826,95.32,14.6734
2016-11-29,239.6445,160.4178,117.5162,124.7185,93.5524,14.7089
2016-11-30,239.7756,160.9373,117.7545,125.0259,93.2668,14.6408
2016-12-01,239.694,162.833,118.325,126.5501,93.4782,14.653
2016-12-02,240.5216,161.3203,118.0612,125.789,93.1607,14.676
2016-12-05,241.146,162.5954,118.3794,126.0484,93.9665,14.7417
2016-12-06,241.4913,160.1543,117.7026,128.4042,94.5221,15.0135
2016-12-07,240.5165,159.831,117.6628,126.6618,94.5753,14.8321
2016-12-08,237.5642,160.9592,117.9119,127.5227,93.4081,14.8911
2016-12-09,237.3045,158.5149,117.2041,127.2644,93.0396,14.8088
2016-12-12,234.6961,159.5171,117.4687,127.5032,92.6439,14.7825
2016-12-13,235.011,159.9006,117.6274,129.6759,93.3248,14.8632
2016-12-14,236.5193,159.9333,117.5706,129.4192,95.0101,14.9185
2016-12-15,236.5462,160.4128,117.7484,128.3366,95.7013,14.7744
2016-12-16,238.672,160.3291,117.8105,129.2479,96.5178,14.9404
2016-12-19,240.2114,159.7868,117.7771,129.4418,97.2476,14.7427
2016-12-20,239.5663,158.8637,117.5708,129.5505,97.928,14.7458
2016-12-21,242.2483,157.1798,117.2765,130.1658,98.6838,14.8855
2016-12-22,239.8561,157.5554,117.4491,131.3844,97.4459,14.7479
2016-12-23,239.3799,160.2812,118.2264,130.9718,97.9933,14.6803
2016-12-26,241.0187,159.233,118.0435,130.9071,98.244,14.6185
2016-12-27,237.7795,160.0376,118.2992,132.1342,97.9863,14.8894
2016-12-28,240.3845,160.2976,118.4861,131.3827,99.0779,14.959
2016-12-29,241.5499,160.8601,118.8608,130.9396,99.3149,15.0019
2016-12-30,241.8897,160.1891,118.5973,131.7669,98.7763,14.9856
2017-01-02,244.109,158.8748,118.1943,132.0521,99.3409,15.1249
2017-01-03,252.5593,157.3943,117.8178,133.1842,102.7181,15.3013
2017-01-04,253.7156,155.3991,117.3774,132.8995,103.122,15.4277
2017-01-05,252.7999,155.3204,117.5821,131.6708,103.5362,15.3961
2017-01-06,252.4369,155.4332,117.5152,128.9072,102.8236,15.3213
2017-01-09,252.6713,157.3494,117.9983,129.6358,102.5863,15.2793
2017-01-10,249.5662,158.7461,118.207,128.8657,101.3593,15.9736
2017-01-11,249.9024,159.3314,118.4816,129.3023,101.8538,16.005
2017-01-12,245.2229,161.3364,118.7883,129.8447,100.4454,15.9622
2017-01-13,245.0113,160.9162,118.7028,129.0496,99.8935,15.838
2017-01-16,244.1941,160.8166,118.4998,128.5522,100.3275,16.0185
2017-01-17,245.5778,160.4779,118.5127,129.1497,100.7922,15.9817
2017-01-18,247.0164,159.9022,118.3972,129.9936,103.0354,16.0194
2017-01-19,247.2835,156.6416,117.6561,129.0081,102.1417,15.6168
2017-01-20,247.3204,158.7374,118.1797,129.7288,101.9684,15.5952
2017-01-23,248.6989,159.1303,118.3269,129.7186,102.6297,15.5666
2017-01-24,248.9209,160.1836,118.5881,130.4976,102.7946,15.6121
2017-01-25,249.1651,160.7693,118.9055,130.1347,103.0852,15.4798
2017-01-26,249.0546,160.8422,118.9968,131.252,103.0134,15.586
2017-01-27,250.0507,160.2009,118.8507,130.433,103.195,15.6424
2017-01-30,246.9763,159.8264,118.6158,129.9888,101.7208,15.4717
2017-01-31,249.0687,159.2992,118.4602,130.2345,102.9836,15.5381
2017-02-01,251.46,158.8971,118.5944,131.0098,103.0239,15.4799
2017-02-02,250.0052,158.4041,118.745,131.6283,102.6922,15.4785
2017-02-03,250.4491,159.9632,119.183,131.8672,103.0755,15.5553
2017-02-06,249.8337,162.2964,119.8531,131.7886,103.7711,15.5661
2017-02-07,248.6139,163.0879,120.3468,133.8787,102.6449,15.7531
2017-02-08,250.3423,162.5432,120.3632,134.4023,102.8587,15.9114
2017-02-09,250.3376,162.5282,120.4365,134.3936,102.5229,15.9278
2017-02-10,251.5239,162.1984,120.313,134.9147,103.3435,15.9434
2017-02-13,252.4838,162.8431,120.2928,134.96,102.5451,15.8042
2017-02-14,251.3166,163.9489,120.9139,134.389,101.176,15.6421
2017-02-15,251.3803,163.8227,120.9077,134.8944,101.1896,15.6217
2017-02-16,250.6486,164.8971,121.2227,135.7391,101.5486,15.6343
2017-02-17,250.7524,165.3213,121.2987,134.7854,101.6747,15.5562
2017-02-20,250.8682,165.9419,121.6068,132.8982,101.5076,14.8603
2017-02-21,248.2391,167.1817,122.0606,131.9617,100.6853,14.8082
2017-02-22,248.6607,167.308,122.1631,131.4732,101.0429,14.9152
2017-02-23,248.2312,168.3044,122.392,131.115,100.5317,14.7794
2017-02-24,248.9375,167.7218,122.0503,132.2999,101.2468,14.9168
2017-02-27,250.0331,167.2126,121.9231,133.7909,101.3906,15.1242
2017-02-28,251.0331,168.1751,122.0335,133.3517,100.7994,15.1913
2017-03-01,252.5044,169.2873,122.5938,134.0243,100.7474,15.1566
2017-03-02,253.8004,168.5718,122.3919,134.4861,101.4712,15.1345
2017-03-03,252.1311,168.7825,122.3531,135.6455,101.3219,15.1102
2017-03-06,251.8954,168.7415,122.1602,136.9605,100.8498,15.3107
2017-03-07,249.1558,169.7378,122.6376,138.3582,99.8888,15.1635
2017-03-08,249.3633,168.7332,122.2774,137.45,99.7985,14.964
2017-03-09,249.9499,169.7242,122.5198,138.8595,100.9531,14.9533
2017-03-10,248.8958,171.4431,122.7748,139.8059,100.7494,14.818
2017-03-13,249.9508,172.235,123.0194,139.3372,102.1938,14.7273
2017-03-14,250.1241,171.5389,122.8358,138.9065,101.9039,14.8354
2017-03-15,250.7312,171.6851,122.7826,139.3726,103.6628,14.9962
2017-03-16,251.5271,171.1122,122.566,139.5885,103.946,14.9851
2017-03-17,249.6204,170.7557,122.3927,138.795,103.1716,15.083
2017-03-20,248.1753,170.7751,122.3192,138.9256,102.4975,15.0778
2017-03-21,247.6178,170.4023,122.3455,138.1659,102.2583,15.1822
2017-03-22,248.5973,169.2346,122.0287,137.3211,102.5402,15.194
2017-03-23,249.6521,168.6697,121.9167,138.9182,102.2728,15.3824
2017-03-24,247.5108,166.3788,121.1941,137.889,103.243,15.399
2017-03-27,248.7708,166.0962,121.1886,139.1245,103.4463,15.6015
2017-03-28,258.6603,163.4623,120.4928,138.5966,106.9918,15.7833
2017-03-29,256.2305,164.9977,120.978,140.0175,106.5129,15.6115
2017-03-30,257.8128,165.7754,121.1438,140.9294,107.4436,15.6966
2017-03-31,258.922,165.347,121.0578,142.6446,108.2898,15.7885
2017-04-03,258.2089,165.2499,121.0096,140.4456,108.1842,15.7972
2017-04-04,259.8054,164.5356,120.5216,141.1588,109.2103,15.8536
2017-04-05,259.6479,164.5379,120.5782,144.5926,108.7113,16.036
2017-04-06,254.3764,164.5932,120.6064,143.1615,105.6953,15.7336
2017-04-07,254.321,165.0722,120.5008,142.3867,105.3414,15.6648
2017-04-10,255.483,164.1834,120.286,142.9194,106.7501,15.7791
2017-04-11,256.3651,162.5718,119.895,142.5976,107.4908,15.8561
2017-04-12,257.5039,163.8912,120.2913,143.5068,107.7203,15.9833
2017-04-13,257.8253,164.5641,120.52,143.7385,108.2887,16.1193
2017-04-14,258.1432,164.2269,120.4418,144.3353,109.1008,16.179
2017-04-17,258.194,164.0382,120.4593,144.0797,109.5867,16.0227
2017-04-18,254.6411,165.3381,120.7888,144.0379,108.3868,15.9997
2017-04-19,254.5013,164.5439,120.5863,143.8293,108.517,15.8426
2017-04-20,256.4939,165.3654,120.825,146.6438,109.8833,16.1619
2017-04-21,254.5423,165.5628,120.9289,146.8013,110.0382,16.0742
2017-04-24,257.0179,166.5965,121.2945,147.221,112.5734,16.2352
2017-04-25,257.6593,166.3591,121.3701,147.0906,113.2102,16.1681
2017-04-26,254.6358,167.0216,121.4285,146.6565,112.4841,16.1256
2017-04-27,252.2609,167.9139,121.9136,147.562,111.2672,16.0984
2017-04-28,253.6907,167.9459,122.0858,148.4289,112.146,15.8628
2017-05-01,249.0092,169.5007,122.4589,142.9886,109.5467,15.6084
2017-05-02,249.1025,169.6124,122.3313,141.2115,109.0816,15.6319
2017-05-03,249.6746,170.1242,122.3758,139.5581,108.6523,15.627
2017-05-04,248.6512,170.0625,122.3355,139.0712,108.311,15.6804
2017-05-05,252.7211,169.5144,122.0495,139.1168,109.3751,15.8702
2017-05-08,252.8438,168.4853,121.7071,138.5633,108.786,15.8119
2017-05-09,252.6784,169.0082,121.9116,137.6043,108.9544,15.6896
2017-05-10,252.794,169.4164,122.0076,138.1768,108.7128,15.5667
2017-05-11,253.0152,170.2048,122.5734,138.9338,109.1211,15.685
2017-05-12,254.4817,170.1093,122.5905,139.4243,109.061,15.7025
2017-05-15,254.9895,171.0823,122.7775,138.7678,109.0678,15.6031
2017-05-16,254.6476,171.1466,122.4918,138.0008,108.1702,15.5357
2017-05-17,254.6622,172.0531,122.6737,137.5469,108.4956,15.509
2017-05-18,255.0867,173.5338,122.9703,137.9889,108.6681,15.4437
2017-05-19,249.6653,175.1946,123.3412,137.7659,106.7797,15.1682
2017-05-22,248.5654,175.4548,123.4133,138.497,104.552,15.1999
2017-05-23,249.7316,174.7051,123.2224,138.3429,106.0752,15.2265
2017-05-24,254.8731,175.1671,123.2548,139.1947,108.4941,15.3766
2017-05-25,255.0434,176.2749,123.5866,139.7782,108.9366,15.2191
2017-05-26,254.681,177.0764,123.7706,138.5784,108.4877,14.9873
2017-05-29,254.4653,177.5543,123.8173,136.9654,108.4369,14.8887
2017-05-30,256.5553,176.6669,123.5623,137.2044,109.2396,15.0818
2017-05-31,257.931,176.2225,123.5022,136.5316,110.459,15.1465
2017-06-01,259.003,175.2538,123.2714,135.9273,111.5328,15.3128
2017-06-02,263.4011,174.5922,122.9971,136.1205,113.0583,15.2536
2017-06-05,264.9625,172.6461,122.5369,136.1028,114.8088,15.5265
2017-06-06,271.2612,170.5709,122.0491,135.8842,117.8782,15.6928
2017-06-07,273.0944,170.2781,121.8033,136.4627,118.4742,15.8096
2017-06-08,273.4968,169.6914,121.6612,133.4631,119.4438,15.8951
2017-06-09,271.4346,169.2027,121.5217,133.6426,118.3061,15.9563
2017-06-12,273.2038,169.1491,121.4843,136.0622,118.5984,16.0028
2017-06-13,273.5377,169.0169,121.6216,135.4009,118.6842,15.7848
2017-06-14,276.2799,167.4605,121.2812,135.6227,119.0099,15.9264
2017-06-15,274.6269,167.3911,121.3504,134.224,119.464,15.8922
2017-06-16,270.8242,169.3124,121.9158,134.6802,118.5769,15.8446
2017-06-19,270.7645,169.7881,122.1312,134.5867,119.115,15.7607
2017-06-20,270.7653,169.781,122.0901,135.655,119.3339,15.7986
2017-06-21,270.5249,170.099,122.1821,136.0088,118.9015,15.6655
